,Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,Battery Cell,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,HDD Capacity,Processor Variant,Chipset,Memory Slots,Expandable Memory,RPM,Graphic Processor,OS Architecture,Operating System,System Architecture,Mic In,RJ45,USB Port,HDMI Port,Hardware Interface,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Refresh Rate,Wireless LAN,Bluetooth,Ethernet,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Model Name,Clock Speed,RAM Frequency,Cache,Number of Cores,Multi Card Slot,Sound Chip,Domestic Warranty,Lock Port,Other Accessories,VGA Port,International Warranty,Security Chip,MRP Price,Discount,Discounted_price,Antivirus,Laptop Bag,Optane Memory,Dock Port,RJ11,Read/Write Speed,Stylus Included,Supported Operating System,Wireless WAN,Recovery Options,Face Recognition,NFC Support,EMMC Storage Capacity,Inbuilt 4G LTE,S-video,Firewire Port,Brand
281,"Laptop, Power Adaptor, User Guide, Warranty Documents",GE75 Raider 10SFS-463IN,9S7-17E912-463,GE75 Raider,Black,Gaming Laptop,"Processing & Multitasking, Gaming",,280 W AC Adapter,6 cell,No,GDDR6,8 GB,Intel,Core i9,10th Gen,Yes,512 GB,32 GB,DDR4,1 TB,10980HK,Intel HM470,,,,NVIDIA GeForce RTX 2070 Super,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB 3.2 Type C (2nd Gen), 1 x USB 3.2 Type A (2nd Gen), 2 x USB 3.2 Type A (1st Gen), 1 x Mini Display Port",1 x HDMI Port (4K at 60 Hz),,No,43.94 cm (17.3 inch),1920 x 1080 Pixel,Full HD LED Backlit Thin Bezel Display (240 Hz Refresh Rate),Built-in Dual Speakers,Built-in Microphones,2 x 3 W Stereo Speakers,240 Hz,Killer Wi-Fi 6 AX1650i (2x2 ax),v5.1,Yes,397 x 268.5 x 27.5 mm,2.64 kg,Not Available,HD Webcam (720P at 30 fps),No,Per Key RGB Steelseries Keyboard,Yes,Touchpad,"Dragon Center, Cooler Boost 5, Nahimic VR, True Color 2.0, Nahimic 3",51 WHrs Li-ion Battery,2 Years Carry In Warranty,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",,2.4 GHz with Turbo Boost Upto 5.3 GHz,3200 MHz,16 MB,8,SD Card Reader,Realtek ALC 1220,2 Year,,,,,,"46,805",9% ,"42,490",,,,,,,,,,,,,,,,,ASUS
282,"Laptop, Power Adaptor, User Guide, Warranty Documents",X515JA-EJ532TS,90NB0SR2-M16940,VivoBook 15 (2020),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,45W AC Adapter,2 Cell,Yes,,,Intel,Core i5,10th Gen,Yes,256 GB,8 GB,DDR4,,,NA,,,,Intel Integrated UHD,64 bit,Windows 10 Home,64,Yes,,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD LED Backlit Anti-glare Display (200nits Brightness, 83% Screen-to-body Ratio, 45% NTSC Color Gamut)",Built-in Speaker,Built-in Microphone,"Audio by ICEpower, SonicMaster, Cortana Support",,Wi-Fi 5(802.11ac) Dual band (1*1),v4.1,,60.2 x 234.9 x 19.9,1.80 kg,Not Available,VGA Camera (Without Privacy Shutter),Yes,Chiclet Keyboard with Num-key,No,Touchpad,"Microsoft Office Home and Student 2019, Splendid (All Models), Tru2Life (Intel Platform Models), Link to MyASUS (All Models, Bluetooth Needed)",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.0 GHz with Turbo Boost Upto 3.6 GHz,,6,4,2 x Micro SD Card Reader,,1 Year,,,,,Trusted Platform Module (Firmware TPM),"67,990",26%,"49,990",,,,,,,,,,,,,,,,,HP
283,"Laptop, Battery, Power Adaptor, User Guide",Modern 14 B10MW-423IN,9S7-14D114-423,Modern 14,Carbon Grey,Laptop,Processing & Multitasking,,65 W AC Adapter,3 cell,No,,,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,10210U,,,,,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB 3.2 Type C (2nd Gen), 2 x USB 2.0 Type A",1 x HDMI Port (4K at 30 Hz),NVMe PCIe,No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD LED Backlit IPS Display (60 Hz Refresh Rate),Built-in Dual Speakers,Built-in Microphones,2 x 2 W Stereo Speakers with Hi-Res Audio,,Intel Wireless-AC 9560 (2x2 a/c),v5.0,,319 x 220 x 16.9 mm,1.3 kg,Not Available,720P HD Webcam (720p at 30 fps),No,Single Backlight White Keyboard,Yes,Touchpad,"Cooler Boost, Nahimic 3, Creator Center","52 WHr Li-ion Battery, Military Grade Durability",1 Year Carry In Warranty,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",,1.6 GHz with Turbo Boost Upto 4.2 GHz,2666 MHz,6 MB,4,Micro SD Card Reader,Realtek ALC 233,1 Year,,,,,,"50,990",No-discount,"50,990",,,,,,,,,,,,,,,,,HP
284,"Laptop, Power Adaptor, User Guide, Warranty Documents",S145-15API,81UT00GNIN,Ideapad S145,Platinum Grey,Laptop,Processing & Multitasking,Upto 4.5 hours,65 W AC Adapter,,Yes,,,AMD,Ryzen 3 Dual Core,,No,,4 GB,DDR4,1 TB,3200U,,,,5400,AMD Radeon Vega 3,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB 2.0, 2 x USB 3.1 (1st Gen)",1 x HDMI Port (v1.4b),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare TN Display (220 nits Brightness, 16:9 Aspect Ratio)",Built-in Dual Speakers,Integrated Monaural Microphone,2 x 1.5 W Stereo Speakers with Dolby Audio,,IEEE 802.11ac (1x1),v4.2,,362.2 x 251.5 x 19.9 mm,1.85 kg,Not Available,0.3 MP Webcam (Fixed Focus),No,English Non Backlit Keyboard,No,Multi-touch Touchpad,Microsoft Office Home and Student 2019,35 WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.6 GHz with Turbo Boost Upto 3.5 GHz,2400 MHz,5 MB,2,"4-in-1 Media Reader (MMC, SD, SDHC, SDXC)",,1 Year,,,,,TPM 2.0,"59,990",5% ,"56,990",,,,,,,,,,,,,,,,,MSI
285,"Laptop, Power Adaptor, LAN Adapter, User Guide, Warranty Documents",Gram 15Z990,15Z990,Gram,Dark Silver,Thin and Light Laptop,Processing & Multitasking,Upto 21.5 hours,,4 cell,No,,,Intel,Core i5,8th Gen,Yes,256 GB,8 GB,DDR4,,8265U,,,,,Intel Integrated UHD 620,64 bit,Windows 10 Home,64 bit,Yes,,"3 x USB 3.1, 1 x USB Type C",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit Display (sRGB Over 96% Color Gamut),Built-in Dual Speakers,Built-in Dual Microphones,,,IEEE 802.11ac,v5.0,,358 x 228 x 16.8 mm,1.10 kg,Not Available,HD Webcam,Yes,Island-style Membrane Keyboard,Yes,Multi-touch Trackpad with Gesture Control,,Li-ion Battery,3 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.6 GHz with Turbo Boost Upto 3.9 GHz,2400 MHz,6 MB,4,Micro SD Card Reader,,3 Year,,,,,,"79,990",27%,"57,990",,,,,,,,,,,,,,,,,Mi
286,"Laptop, Power Adaptor, User Guide, Warranty Documents",E15,20TDS0A200,ThinkPad E15,Black,Laptop,Processing & Multitasking,Upto 10.8 Hours,45 W AC Adapter,3 cell,No,,,Intel,Core i3,11th Gen,Yes,256 GB,4 GB,DDR4,,1115G4,,,,,Intel Integrated UHD,,DOS,NA,,,"1 x USB 2.0, 1 x USB 3.2 Gen 1 (Always On), 1 x Thunderbolt 4, USB 4 40 Gbps (Support Data Transfer, Power Delivery 3.0 and Display Port 1.4)",,,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,Full HD LED Anti-glare Display,,,,,"Intel Wireless-AC 9560, 802.11ac Dual Band (2x2) Wi-Fi",v5.1,,365 x 240 x 18.9 mm,1.7 kg,Not Available,720p (With Think Shutter),Yes,English Keyboard,No,,NA,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,3.0 GHz with Turbo Boost Upto 4.1 GHz,,6 MB,,,,1 Year,,,,,,"1,06,290",27%,"76,990",,,,,,,,,,,,,,,,,HP
287,"Laptop, battery, power adapter, user guide",GF63 Thin 10SCXR-1617-INBB71075H8G1T0DX10EMH,9S7-16R412-1617,GF63 Thin,Carbon Gray,Gaming Laptop,Processing & Multitasking,,120W Adapter,3,No,GDDR6,4 GB,Intel,Core i7,10th Gen,Yes,256 GB,8 GB,DDR4,1 TB,10750H,,,,,NVIDIA GeForce GTX 1650 Max Q,64 bit,Windows 10 Home,64,,Yes,"1x Type-C USB3.2 (Gen1), 3x Type-A USB3.2 (Gen1)",1 x HDMI Port,NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,60 Hz,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,Yes,359 x 254 x 21.7,1.86 KG,Not Available,720p HD Webcam (30fps@720p),,Single Backlit Keyboard (Red),Yes,Touchpad,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3","3-Cell, 51 Whr Battery",2 Year Warranty Term for Gaming & Content Creation (EU-WE),Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",GF63 Thin 10SCXR-1617IN,2.6 GHz with 5 GHz Max Turbo Boost Frequency,,12,,,Realtek ALC 269,,,,,,,"44,442",11%,"39,490",,,,,,,,,,,,,,,,,MSI
288,"Laptop, Power Adaptor, User Guide, Warranty Documents",ExpertBook B9 B9450FA,90NX02K1-M08520,ExpertBook B9,Star Black,Thin and Light Laptop,Processing & Multitasking,,65 W AC Adapter,,No,,,Intel,Core i7,10th Gen,Yes,1 TB,16 GB,LPDDR3,,10510U,,,,,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB Type A, 2 x USB Type C",1 x HDMI Port (v2.0),,No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD LED Backlit Display,Built-in Dual Speakers,Built-in Array Microphone,,,IEEE 802.11ac,v5.0,,320 x 203 x 14.9 mm,0.995 kg,Not Available,HD Webcam,Yes,Backlit Chiclet Keyboard,Yes,Touchpad,,Li-ion Battery,1 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,Onsite,Manufacturing Defects,Physical Damage,B9450FA-BM0695T,1.8 GHz with Turbo Boost Upto 4.9 GHz,,8 MB,4,,,1 Year,,,,,,"1,49,999",22%,"1,16,990",,,,,,,,,,,,,,,,,acer
289,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",UX580GE-E2014T,90NB0I83-M01810,ZenBook Pro 15,Deep Dive Blue,Laptop,Processing & Multitasking,,150 W AC Adapter,8 cell,No,GDDR5,4 GB,Intel,Core i7,8th Gen,Yes,1 TB,16 GB,DDR4,,8750H,Intel HM370,,,,NVIDIA GeForce GTX 1050Ti,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.0, 2 x USB 3.1 Type C (2nd Gen) with Thunderbolt",1 x HDMI Port,,Yes,39.62 cm (15.6 inch),3840 x 2160 Pixel,Ultra HD LED Backlit Wideview Glare Touch Display,Built-in Speakers,Built-in Array Microphone,"Sonic Master, Harmon / Kardon Speaker",,IEEE 802.11ac,v5.0,Gigabit Ethernet,365 x 251 x 18.9 mm,1.88 kg,Not Available,VGA Webcam,Yes,Illuminated Chiclet Keyboard,,Touchpad,,Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.2 GHz with Turbo Boost Upto 4.1 GHz,,9 MB,6,SDXC Card Reader,,1 Year,,,,,Trusted Platform Module (TPM),"72,990",21%,"56,990",,,,,,,,,,,,,,,,,MSI
290,"Laptop, Power Adaptor, User Guide, Warranty Documents",81weideapad 3 15iil05,81WE0081IN,Ideapad 3,Platinum Grey,Laptop,Processing & Multitasking,Upto 7.3 hours,65 W AC Adapter,,Yes,,,Intel,Core i3,10th Gen,No,,4 GB,DDR4,1 TB,1005G1,,,Upto 12 GB,5400,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB 2.0, 2 x USB 3.2 (1st Gen)",1 x HDMI Port (v1.4b),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare TN Display (16:9 Aspect Ratio, 220 nits Brightness)",Built-in Dual Speakers,Integrated Dual Array Microphone,2 x 1.5 W Stereo Speakers with Dolby Audio,,IEEE 802.11ac (2x2),v5.0,,362.2 x 253.4 x 19.9 mm,1.85 kg,Not Available,"0.3 Megapixel Webcam (with Privacy Shutter, Fixed Focus)",,English Non-backlit Keyboard,,Multi-touch Touchpad,Microsoft Office Home and Student 2019,35 WHr Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.2 GHz with Turbo Boost Upto 3.4 GHz,2666 MHz,4 MB,2,"4-in-1 Media Reader (MMC, SD, SDHC, SDXC)",,1 Year,,,,,TPM 2.0,"34,500",8% ,"31,490",,,,,,,,,,,,,,,,,HP
291,"Laptop, Power Adaptor, User Guide, Warranty Documents",PH315-53,NH.QCYSI.008,Predator Helios 300,Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 7 hours,230 W AC Adapter,4 cell,No,GDDR6,6 GB,Intel,Octa Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10870H,Mobile Intel HM470 PCH Chipset,2 slots,Upto 32 GB,7200,NVIDIA GeForce RTX 3060,64 bit,Windows 10 Home,64,Yes,Yes,"1 x USB Type-C Port (USB 3.2 Gen 2), 1 x USB 3.2 Gen 2 Port with Power-Off Charging, 2 x USB 3.2 Gen 1 Ports",1 x HDMI,PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD LED Backlit IPS ComfyView Display (300 nits Brightness, 72% NTSC Color Gamut)",Built-in Speakers,Built-in Dual Microphones,"DTS X : Ultra Audio, Featuring Optimized Bass, Loudness, Speaker Protection with up to 6 Custom Content Modes by Smart Amplifier, Supported in Windows Spatial Sound for PC Gaming with DTS License Integrated, Immersive Audio Rendering Over Headphones and Internal Speakers, Acer Purified Voice Technology with Dual Built-in Microphones. Features Include Far-Field Pickup, Keystroke Suppression, Adaptive Beam Forming, and Pre-Defined Personal and Conference Call Modes, Compatible with Cortana with Voice, Acer TrueHarmony Technology for Lower Distortion, Wider Frequency Range, Headphone-Like Audio and Powerful Sound",144 Hz,Killer Wi-Fi 6 AX1650i,v5.1,"Killer Ethernet E2600, 10/100/1000 Mbps",363.4 x 255 x 22.9,2.3 kg,Not Available,720p HD Webcam,No,FineTip RGB-backlit Keyboard with Independent Standard Numeric Keypad (International Language Support),Yes,Multi-Gesture Touchpad,"PredatorSense, Acer Care Center, Planet9, Acer Product Registration, Quick Access","59 WHr Li-ion Battery, BIOS User, Supervisor Passwords",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,"44,908",2% ,"43,990",,,,,,,,,,,,,,,,,HP
292,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",13-an0046tu,5SE72PA,Pavilion 13,Mineral Silver,Thin and Light Laptop,Processing & Multitasking,,45 W AC Adapter,2 cell,No,,,Intel,Core i5,8th Gen,Yes,256 GB,8 GB,DDR4,,8265U,,,,,Intel Integrated UHD 620,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.1, 1 x USB 3.1 Type C",1 x HDMI Port (v1.4),,No,33.78 cm (13.3 inch),1920 x 1080 Pixel,Full HD LED Backlit IPS Display,Built-in Dual Speakers,Built-in Digital Microphone,"Bang and Olufsen Play, HP Audio Boost",,IEEE 802.11b/g/n/ac,v5.0,,311 x 211x 15.4 mm,1.3 kg,Not Available,HP Wide Vision HD Webcam,,Full Size Island Style Keyboard,,Multi Gesture Touchpad,"HP Audio Switch, HP Support Assistant",Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.6 GHz with Turbo Boost Upto 3.9 GHz,2400 MHz,6 MB,4,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,Kensington Nano Security Slot,,,,,"45,892",9% ,"41,490",,,,,,,,,,Recovery Manager Installer for Windows 10,,,,,,,HP
293,"Laptop, Power Adaptor, User Guide, Warranty Documents",15ARH05,82EY00L9IN,Ideapad Gaming 3,Onyx Black,Gaming Laptop,"Processing & Multitasking, Gaming",Upto 6.7 hours,135 W AC Adapter,,No,GDDR6,4 GB,AMD,Ryzen 7 Hexa Core,,Yes,512 GB,8 GB,DDR4,,4600H,AMD SoC,2 Slots,Upto 16 GB,,NVIDIA GeForce GTX 1650,64 bit,Windows 10 Home,64 bit,Yes,Yes,"2 x USB 3.2 (1st Gen), 1 x USB 3.2 Type C (1st Gen)",1 x HDMI Port (v2.0),NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (60 Hz Refresh Rate, 250 nits Brightness, 16:9 Aspect Ratio, 45% Color Gamut)",Built-in Dual Speakers,Integrated Dual Array Microphone,2 x 1.5 W Stereo Speakers with Dolby Audio,60 Hz,IEEE 802.11ac (2x2),v5.0,100/1000 Mbps,359 x 249.6 x 24.9 mm,2.2 kg,Not Available,"720P HD Webcam (with Privacy Shutter, Fixed Focus)",No,English Blue LED Backlit Keyboard,Yes,Multi-touch Touchpad,,45 WHr Li-Polymer Battery with Rapid Charge Support,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,3 GHz with Turbo Boost Upto 4 GHz,3200 MHz,11 MB,6,,,1 Year,,,,,TPM 2.0,"28,420",3% ,"27,490",,,,,,,,,,,,,,,,,HP
294,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",720S-13IKB,81BV008TIN,Ideapad 720S,Platinum,Thin and Light Laptop,Processing & Multitasking,Upto 10 hours,,4 cell,Yes,,,Intel,Core i7,8th Gen,Yes,512 GB,8 GB,DDR4,,8550U,,1 Slot,Upto 8 GB,,Intel Integrated UHD 620,64 bit,Windows 10 Home,64 bit,Yes,,2 x USB Type C,,,No,33.78 cm (13.3 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare IPS Display,Built-in Speaker,Built-in Array Microphones,1 x 2 W JBL Speakers with Dolby Atmos,,WIFI 2x2 AC,v4.1,,305 x 213 x 13.5 mm,1.14 kg,Not Available,1 Megapixel Webcam,Yes,Standard English Keyboard,,Touchpad,"Microsoft Office Home and Student 2016, Lenovo App Explorer, Lenovo Companion 3.0",Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.8 GHz with Turbo Boost Upto 4 GHz,,8 MB,4,,,1 Year,,,,,,"1,79,990",23%,"1,37,990",McAfee LiveSafe,,,,,,,,,,,,,,,,ASUS
295,"Laptop, Power Adaptor, User Guide, Warranty Documents",GL65 Leopard 10SEK-465IN,9S7-16U722-465,GL65 Leopard,Black,Gaming Laptop,"Processing & Multitasking, Gaming",,230 W AC Adapter,6 cell,No,GDDR6,6 GB,Intel,Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10750H,,,,,NVIDIA GeForce RTX 2060,64 bit,Windows 10 Home,64 bit,Yes,Yes,"3 x USB 3.2 Type A (1st Gen), 1 x USB 3.2 Type C (2nd Gen)",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare IPS Thin Bezel Display (144 Hz Refresh Rate),Built-in Dual Speakers,Built-in Microphone,"2 x 2 W Speakers, Hi-Res Audio",,Intel Wi-Fi 6 AX201 (2x2 ax),v5.1,Yes,357 x 248 x 27.5 mm,2.3 kg,Not Available,HD Webcam (720p at 30 fps),,Per Key RGB Steelseries Keypad,Yes,Touchpad,"Matrix Display, Dragon Center, Cooler Boost 5, Nahimic 3",51 WHr Li-ion Battery,2 Year Warranty,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",GL65 Leopard 10SEK-465IN,2.6 GHz with Turbo Boost Upto 5.0 GHz,2666 MHz,12 MB,6,SD Card Reader,Realtek ALC 233,2 Year,,,,,,"1,45,990",24%,"1,09,990",,,,,,,,,,,,,,,,,MSI
296,"Laptop, Power Adaptor, User Guide, Warranty Documents",UX481FL-B5811T,90NB0P61-M02390,ZenBook Duo,Celestial Blue,Thin and Light Laptop,Processing & Multitasking,Upto 8 hours,90 W AC Adapter,4 cell,No,GDDR5,2 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,LPDDR3,,10210U,,,,,NVIDIA GeForce MX250,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.1, 1 x USB 3.1 Type C",1 x HDMI Port (v1.4),,No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare IPS NanoEdge Display (With 100% sRGB),Built-in Speakers,Built-in Microphones,Audio Tuned by Harman Kardon,,IEEE 802.11ax,v5.0,,323 x 223 x 19.5 mm,1.5 kg,Not Available,HD IR Webcam,,Illuminated Chiclet Keyboard,Yes,"ScreenPad Plus, Touchpad",Asus Splendid,Li-ion Battery,1 Year Limited International Hardware Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.6 GHz with Turbo Boost Upto 4.2 GHz,2133 MHz,6 MB,4,Micro SD Card Reader,,1 Year,,,,1 Year,TPM,"57,600",11%,"50,990",,,,,,,,,,,,,,,,,acer
297,"2 in 1 Laptop, Power Adaptor, Active Stylus, User Guide, Warranty Documents",13-aw0211TU,9JM93PA,Spectre x360,Poseidon Blue,2 in 1 Laptop,Processing & Multitasking,,65 W AC Adapter,4 cell,No,,,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,1035G4,,,,,Intel Integrated Iris Plus,64 bit,Windows 10 Pro,64 bit,Yes,,"2 x USB 3.1 (2nd Gen) Type C with Thunderbolt 3 (40 Gbps Signaling Rate, Power Delivery 3.0, DisplayPort 1.4, HP Sleep and Charge), 1 x USB 3.1 (1st Gen) Type A (HP Sleep and Charge)",,,Yes,33.78 cm (13.3 inch),1920 x 1080 Pixel,"Full HD WLED Backlit BrightView IPS Micro-edge Touch Display with Anti-reflection Corning Gorilla Glass NBT (400 nits Brightness, 100% sRGB)",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,"Bang and Olufsen, HP Audio Boost 2.0",,Intel Wi-Fi 6 AX 201 (2x2),v5.0,,306 x 194.5 x 16.9 mm,1.27 kg,Not Available,HP TrueVision HD IR Webcam,Yes,Full-size Island-style Poseidon Blue Backlit Keyboard,Yes,HP Imagepad with Multi-touch Gesture Support,"HP Audio Switch, HP Documentation, HP e-Service, HP JumpStart, HP Support Assistant, HP Connection Optimizer, HP Command Center, HP PC Hardware Diagnostics Windows","60 WHr Li-ion Polymer Battery, MU-MIMO Supported, Miracast Compatible",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.1 GHz with Turbo Boost Upto 3.7 GHz,,6 MB,4,Micro SD Media Card Reader,,1 Year,,,,,TPM,"56,144",10%,"49,990",,,,,,,,,,HP Recovery Manager,,,,,,,HP
298,"Laptop, Power Adaptor, User Guide, Warranty Documents",Inspiron 7490,D560110WIN9S,Inspiron,Silver,Thin and Light Laptop,Processing & Multitasking,Upto 6 hours,,3 cell,Yes,,,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,10210U,,,Upto 32 GB,,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.1 (1st Gen), 1 x USB Type C",1 x HDMI Port (v1.4b),,No,35.56 cm (14 inch),1920*1080 pixel,Full HD LED Backlit Truelife Display,Built-in Dual Speakers,Built-in Microphone,Waves Maxx Audio Pro,,IEEE 802.11ac (1x1),v4.1,,307 x 216 x 16 mm,1.45 kg,Not Available,HD Webcam,No,English Backlit Keyboard - Silver,Yes,Touchpad,Microsoft Office Home and Student 2019,Li-ion Battery,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Onsite,Manufacturing Defects,Physical Damage,,1.6 to 4.2 GHz,2666 MHz,6 MB,4,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,Kensington Lock Port,,,,,"45,990",17%,"37,990",McAfee Multi Device Security 15 Months Subscription,,,,,,,,,,,,,,,,ASUS
299,"Laptop, Battery, Power Adaptor, User Guide",Modern 14 B10MW-423IN,9S7-14D114-423,Modern 14,Carbon Grey,Laptop,Processing & Multitasking,,65 W AC Adapter,3 cell,No,,,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,10210U,,,,,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB 3.2 Type C (2nd Gen), 2 x USB 2.0 Type A",1 x HDMI Port (4K at 30 Hz),NVMe PCIe,No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD LED Backlit IPS Display (60 Hz Refresh Rate),Built-in Dual Speakers,Built-in Microphones,2 x 2 W Stereo Speakers with Hi-Res Audio,,Intel Wireless-AC 9560 (2x2 a/c),v5.0,,319 x 220 x 16.9 mm,1.3 kg,Not Available,720P HD Webcam (720p at 30 fps),No,Single Backlight White Keyboard,Yes,Touchpad,"Cooler Boost, Nahimic 3, Creator Center","52 WHr Li-ion Battery, Military Grade Durability",1 Year Carry In Warranty,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",,1.6 GHz with Turbo Boost Upto 4.2 GHz,2666 MHz,6 MB,4,Micro SD Card Reader,Realtek ALC 233,1 Year,,,,,,"1,45,990",28%,"1,04,990",,,,,,,,,,,,,,,,,ASUS
300,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",GL62M 7REX,9S7-16J962-2068,GL,Black,Gaming Laptop,"Gaming, Performance",Upto 3 hours,,6 cell,No,GDDR5,4 GB,Intel,Core i7,7th Gen,Yes,128 GB,8 GB,DDR4,1 TB,7700HQ,HM175,2 Slots,Upto 32 GB,7200,NVIDIA GeForce 1050Ti,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB 3.0 Type C, 2 x USB 3.0 Type A, 1 x USB 2.0 Type A",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare Wideview Display (94% NTSC Color),Built-in Quad Speakers,Built-in Microphone,4 x 2 W Speakers,,IEEE 802.11ac,v4.2,Gigabit LAN,,2.2 kg,Not Available,HD Webcam,,Backlight Keyboard,Yes,Touchpad,,,2 Years Manufacturer Warranty,Carry In,Manufacturing Defects,"Physical Damage, Burn, Liquid Spill",,2.8 GHz with Turbo Boost Upto 3.8 GHz,2400 MHz,6 MB,,,,2 Year,,,,,,"76,990",28%,"54,990",,,,,,,,,,,,,,,,,ASUS
