Model Number,Model Name,Color,Connectivity,OS,Operating System Version,RAM,Voice Call,Display Size,Sales Package,Display Resolution,Primary Camera,Internal Storage,Processor Speed,Sim Type,Warranty Summary,Display Resolution Type,Display Supported Network,Processor Type,Series,Additional Features,Sim Size,Multi-touch,Sensors,ROM,Battery Capacity,Document Viewer,E-mail,Secondary Camera,Video Recording Resolution,Video Recording,Full HD Recording,HD Recording,Flash,Other Camera Features,2G,3G,Edge,GPRS,Bluetooth Version,USB,Browser,Headphone Jack,Wi-fi Version,Other Connectivity Features,Other Display Features,Display Type,Video Formats Supported,Full HD Playback,HD Playback,Video Playback,Audio Formats Supported,GPS Support,GPS Type,Map Support,Expandable Storage Capacity,Memory Card Slot Type,Memory Card Support,Warranty,Warranty Service Type,Domestic Warranty,Covered in Warranty,Not Covered in Warranty,Warranty Period,Supported Network,Battery Type,Touch Screen Type,Display PPI,Battery Features,RAM Type,Digital Zoom,MRP Price,Discount,Discounted_price,Brand
ZA6V0021IN,"Tab M10 HD 2nd Gen (10.1 inch, 2GB, 32GB, Wi-Fi+LTE)",Platinum Grey,Wi-Fi+4G,Android,10,2 GB,Yes,25.65 cm (10.1 inches),"Tablet, AC Adapter (5V/2A), USB Type-C Cable, Warranty Card, Quick Start Guide, SIM Pin",1280 x 800 Pixels,8 Megapixels,32 GB,2.3 GHz,Single Sim,1 Year Warranty,,,MediaTek Helio P22T Tab Octa-Core Processor,M10 HD 2nd Gen,,Nano SIM,10 Point Multi-Touch,"Ambient Light Sensor, Proximity Sensor, Accelerometer (G) Sensor, Hall Sensor, Gyroscope Sensor",32 GB,5000 mAh,Yes,Yes,5 Megapixels,,,,,,,,,,,v5.0,1 x USB Type-C,Chrome,,11a/b/g/n/ac (1x1),,,HD,,,,,,,,,256 GB,MicroSD Card,Yes,1 Year,,1 Year,Device,,1 Year,4G LTE,,,,5000 mAH,LPDDR4,,,,,Lenovo
1825,COOL 3,CHERRY BLACK,,,,3 GB,,14.5 cm (5.71 inch),,,8MP Rear Camera,32 GB,,,1 year,,,,,,,,,,3000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated Slot,,,,,,,,,,,,,,,,,,Maplin
MY2H2HN/A,iPad Pro 2020 (4th Generation),Space Grey,Wi-Fi Only,iPadOS,13.4,6 GB,No,32.77 cm (12.9 inch),"iPad Pro, USB Type C Charge Cable (1 metre), 18 W USB Type C Power Adapter, User Manual, Warranty Card",2732 x 2048 Pixels,12 Megapixels,128 GB,2.5 GHz,No Sim,1 Year Limited Hardware Warranty,Quad HD,NA,A12Z Bionic Chip with 64-bit Architecture (Neural Engine) with Embedded M12 Coprocessor,,"Video Calling: FaceTime Video (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Audio Calling: FaceTime Audio (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Quad Audio Speaker, 5 x Studio Quality Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Face ID (Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make Purchases from the iTunes Store, App Store and Apple Books), Siri: Use Voice to Send Messages, Set Reminders and More, Accessibility Includes VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Supports Dolby Vision and HDR10 Content",,Yes,"Face ID, LiDAR Scanner, Three-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",128 GB,,Yes,Yes,7 Megapixels,"4K, 1080P, 720P pixels",Yes,Yes,Yes,Yes,"Rear Camera: 12 MP (Wide) + 10 MP (Ultra Wide), F/1.8 Aperture (12 MP), F/2.4 Aperture and 125 Degree Field of View (10 MP), Five Element Lens (Wide and Ultra Wide), Brighter True Tone Flash, Panorama (Upto 63 MP), Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Autofocus with Focus Pixels (Wide), Tap to Focus with Focus Pixels (Wide), Wide Color Capture for Photos and Live Photos, Exposure Control, Noise Reduction, Smart HDR for Photos, Auto Image Stabilisation, Burst Mode, Timer Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, Slow‑motion Video Support for 1080p at 120 fps or 240 fps (Wide) and 240 fps (Ultra Wide), Time Lapse Video with Stabilisation, Continuous Autofocus Video, Video Geotagging, Video Formats Captured: HEVC and H.264, Front Camera: Animoji and Memoji, Portrait Mode, Portrait Lighting, Retina Flash, F/2.2 Aperture, Smart HDR, Auto Image Stabilisation, Burst Mode, Exposure Control, Timer Mode, Wide Color Capture for Photos and Live Photos",No,No,,,v5.0,"Yes, USB Type C",Safari,,802.11ax (Wi-Fi 6),"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity, HT80 with MIMO","LED Backlit Multi Touch Liquid Retina Display with Fingerprint Resistant Oleophobic Coating Fully Laminated Display, ProMotion Technology, Wide Color Display (P3), True Tone Display, 600 nits Brightness, Anti-reflective Coating, 1.8% Reflectivity",IPS,"H.264 Video Upto 4K, 30 Frames Per Second, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, MPEG-4 Video Upto 2.5 Mbps, 640 x 480 Pixels, 30 Frames Per Second, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280 x 720 Pixels, 30 Frames Per Second, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos, Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,5x,,,,Maplin
G2-PRO,G2-PRO,Black,,,,3 GB,,15.9 cm (6.26 inch),,,8MP Rear Camera,32 GB,,,Six month warranty,,,MediaTek,G2 Pro,,,,"G-Sensor, Light Sensor, Fingerprint Sensor",,4000 mAh,,,5MP Front Camera,1920 x 1080,Yes,Yes,Yes,Yes,,,Yes,,Yes,4.0,,Chrome,,,,,IPS,,,,,,Yes,,Google,,Dedicated Slot,,,Domestic,6 Months,Mobile Phone,Accessories,,,li-Ion,,,,,,,,,Maplin
MY2V2HN/A,iPad Pro 2020 (2nd Generation),Space Grey,Wi-Fi+4G,iPadOS,13.4,6 GB,No,27.94 cm (11 inch),"iPad Pro, USB Type C Charge Cable (1 metre), 18 W USB Type C Power Adapter, User Manual, Warranty Card",2388 x 1668 Pixels,12 Megapixels,128 GB,2.5 GHz,Single Sim,1 Year Limited Hardware Warranty,Full HD,LTE,A12Z Bionic Chip with 64-bit Architecture (Neural Engine) with Embedded M12 Coprocessor,,"Video Calling: FaceTime Video (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Audio Calling: FaceTime Audio (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Quad Audio Speaker, 5 x Studio Quality Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Face ID (Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make Purchases from the iTunes Store, App Store and Apple Books), Siri: Use Voice to Send Messages, Set Reminders and More, Accessibility Includes VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Supports Dolby Vision and HDR10 Content, Supports Apple SIM (eSIM)",,Yes,"Face ID, LiDAR Scanner, Three-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",128 GB,,Yes,Yes,7 Megapixels,"4K, 1080P, 720P pixels",Yes,Yes,Yes,Yes,"Rear Camera: 12 MP (Wide) + 10 MP (Ultra Wide), F/1.8 Aperture (12 MP), F/2.4 Aperture and 125 Degree Field of View (10 MP), Five Element Lens (Wide and Ultra Wide), Brighter True Tone Flash, Panorama (Upto 63 MP), Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Autofocus with Focus Pixels (Wide), Tap to Focus with Focus Pixels (Wide), Wide Color Capture for Photos and Live Photos, Exposure Control, Noise Reduction, Smart HDR for Photos, Auto Image Stabilisation, Burst Mode, Timer Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, Slow‑motion Video Support for 1080p at 120 fps or 240 fps (Wide) and 240 fps (Ultra Wide), Time Lapse Video with Stabilisation, Continuous Autofocus Video, Video Geotagging, Video Formats Captured: HEVC and H.264, Front Camera: Animoji and Memoji, Portrait Mode, Portrait Lighting, Retina Flash, F/2.2 Aperture, Smart HDR, Auto Image Stabilisation, Burst Mode, Exposure Control, Timer Mode, Wide Color Capture for Photos and Live Photos",Yes,Yes,Yes,Yes,v5.0,"Yes, USB Type C",Safari,,802.11ax (Wi-Fi 6),"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity, HT80 with MIMO","LED Backlit Multi Touch Liquid Retina Display with Fingerprint Resistant Oleophobic Coating Fully Laminated Display, ProMotion Technology, Wide Color Display (P3), True Tone Display, 600 nits Brightness, Anti-reflective Coating, 1.8% Reflectivity",IPS,"H.264 Video Upto 4K, 30 Frames Per Second, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, MPEG-4 Video Upto 2.5 Mbps, 640 x 480 Pixels, 30 Frames Per Second, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280 x 720 Pixels, 30 Frames Per Second, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos, Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,"4G LTE, WCDMA, GSM",Lithium Polymer,,264 PPI,,,5x,,,,HP
N8,N8 New 3G,White,Wi-Fi+3G,Android,6.0 (Marshmallow),1 GB,Yes,cm (7 inch inch),"Tablet, OTG Cable, Charger, User Manual",1024 x 600 Pixels,5 megapixels,8 GB,1.3 GHz,Dual Sim,1 Year Warranty Against Manufacturing Defects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GSM, WCDMA",,,,,,,,,,APPLE
Venue 8 (3840) with Voice Call,Venue 8 (3840) with Voice Call,Black,Wi-Fi+3G,Android,4.4,1 GB,Yes,20.32 cm (8 inch),Tablet,1920 x 1200 Pixels,5 megapixels,16 GB,2.1 GHz,,1 Year National Warranty,Full HD,,Intel Atom Processor Z3480,,,,,"Proximity, Accelerometer, Compass",,4100 mAh,,,2 megapixels,,,,,,,Yes,Yes,,,,Yes,,,,,,IPS Display with FHD,,,,,,,,,64 GB,Micro SD Card,,12 months,"On-site Service. Customer needs to call the nearby Authorized Service Center, service engineer will come to the site to get the product repaired or inspected.",,Warranty of the product is limited to manufacturing defects only,6 Month Box Accessories,12 months,,Lithium - Ion,,,,,,,,,I kall
N4 New With keyboard,N4 New With Keyboard,Black,Wi-Fi+4G,Android,6.0,1 GB,Yes,17.78 cm (7 inch),"Tablet, Charger, User manual and Keyboard",1024x720 pixels,5 megapixels,16 GB,1.3 GHz,Dual Sim,1 Year manufacture warranty,,GSM,,,,Micro SIM,,,16 GB,2800 mAh,,,2 megapixels,,Yes,,,,,,Yes,,,,,,3.5 mm,,,,,MP4,,,,MP3,,,,32 GB,,Yes,,,1 Year,,,,"4G VoLTE, GSM",Lithium-Ion,,,,,,,,,Tecno
M30,M30,Black,,,,32 MB,,4.57 cm (1.8 inch),,,0.3MP Rear Camera,32 MB,,,7 Days Replacement Warranty,,,,,,,,,,2500 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated Slot,,,,,,,,,,,,,,,,,,APPLE
Funbook P256,Funbook P256,Silver,Wi-Fi+2G,Android,4.0.4 (Ice Cream Sandwich),512 MB,No,17.78 cm (7 inch),,800 x 480 pixels,3 megapixels,1 GB,1.2 GHz,No Sim,,SD,,Cortex-A8,,"Rich and Defined UI, Resizable Widgets, Seamless Multi-tasking, Smooth UI Transition, Video Call through Skype, Voip Apps, Non Java 2D Games, Alarm, Calculator, Calendar, Speakerphone",,Multi-touch,"Gravity Sensor, Accelerometer",4 GB,3000 mAh,,Yes,,,Yes,,,,,Yes,No,,,,Yes,"Android, WAP",,802.11 b/g/n,"3G Dongle Support via USB, Wi-Fi Hotspot",Pinch to Zoom,,"MOV, 3GP, WMV, AVI, FLV, MP4",Yes,Yes,Yes,"MP3, FLAC, WAV, MP2, OGG, AAC",,,,32 GB,microSD,Yes,12 months,,,,,12 months,,Lithium - Polymer,Capacitive,,3000 mAh,,,"10,999",7% ,"10,149",TCL
IRA CAPSULE 102017,IRA CAPSULE 102017,Grey,Wi-Fi+4G,Android,Andriod 9.0,2 GB,Yes,25.4 cm (10 inch),"Charger, Earphone, usb cable, Manual.",1280 x 800$$Pixels pixels,5 megapixels,16 GB,1.6 GHz,Dual Sim,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4G VoLTE,,,,,,,"7,999",28%,"5,699",TCL
Venue 7 3741,Black,Black,Wi-Fi+3G,Android,4.4 (KitKat),1 GB,Yes,17.65 cm (6.95 inch),"User Manual, Charger, Tablet",1024 x 600 pixels,2 megapixels,8 GB,1.83 GHz,Single Sim,,,GSM,Intel Atom Z3735G Quad Core,,"Voice Recognition, Multi-tasking, Video Chat through Skype, Textured Back, Dell Backup and Recovery",,Multi-touch,,8 GB,4100 mAh,,Yes,0.3 megapixels,,Yes,,,,,Yes,Yes,,,4,"Yes, Micro USB 2.0",Android,,802.11 b/g/n,"Micro B USB 2.0, Bluetooth Support",Twisted Nematic Display,,,,,Yes,MP3,Yes,,Google Maps,64 GB,microSD,Yes,12 months,,,,,12 months,WCDMA,Lithium - Ion,Capacitive,,,DDR3L,,"21,999",13%,"18,999",APPLE
MYH42HN/A,iPad Air (4th Gen),Silver,Wi-Fi+4G,iPadOS,14,,No,27.69 cm (10.9 inch),"iPad Air, USB Type C Charging Cable (1 metre), 20W USB Type C Power Adapter",2360 x 1640 Pixels,12 Megapixels,256 GB,,Single Sim,1 Year Limited Hardware Warranty,Full HD,LTE,A14 Bionic Chip (64‑bit Architecture) with Neural Engine,,"Stereo Speakers, Dual Microphones for Calls, Video Recording and Audio Recording, Video Calling (FaceTime Video): iPad to Any FaceTime Enabled Device over Wi-Fi or Cellular, Audio Calling (FaceTime Audio): iPad to Any FaceTime Enabled Device over Wi-Fi or Cellular, Digital Compass, iBeacon Micro Location, Accessibility Features: VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen",Nano SIM,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",256 GB,,Yes,Yes,7 Megapixels,"720P, 1080P, 4K pixels",Yes,Yes,Yes,Retina Flash,"Rear Camera: 12 MP Wide Rear Camera Setup, f/1.8 Aperture, Five-element Lens, Hybrid IR Flter, Backside Illumination Sensor, Live Photos with Stabilisation, Autofocus with Focus Pixels, Tap to Focus with Focus Pixels, Wide Colour Capture for Photos and Live Photos, Panorama (Upto 63MP), Exposure Control, Noise Reduction, Smart HDR for Photos, Auto Image Stabilisation, Burst Mode, Timer Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, Video Recording: 4K Video Recording at 24 fps, 30 fps or 60 fps, 1080p HD Video Recording at 30 fps or 60 fps, Slow-motion Video Support for 1080p at 120 fps or 240 fps, Time-lapse video with Stabilisation, Cinematic Video Stabilisation (1080p and 720p), Continuous Autofocus Video, Noise Reduction, Video Geotagging, Front Camera: 7MP Selfie Camera, f/2.0 Aperture, 1080p HD Video Recording at 60 fps, Wide Colour Capture for Photos and Live Photos, Smart HDR, Retina Flash, Backside Illumination Sensor, Auto Image Stabilisation, Burst Mode",Yes,Yes,,,v5.0,"Yes, USB Type C",Safari,,802.11ax (Wi-Fi 6),"Simultaneous Dual Band (2.4 GHz and 5 GHz) Support, HT80 with MIMO","Full HD+ LED Backlit Multi Touch IPS Display (264 PPI, Wide Color Display (P3), True Tone Display, Fully Laminated Fingerprint-resistant Oleophobic Coating, Anti-reflective Coating, 1.8% Reflectivity, 500 nits Brightness, Supports Apple Pencil (2nd Gen))",IPS,"Video Formats Supported: H.264 Video Upto 4K, 30 fps, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multi-channel Audio, in .m4v, .mp4 and .mov File Formats, MPEG‑4 Video Upto 2.5 Mbps, 640x480 Pixels, 30 fps, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48kHz, Stereo or Multi-channel Audio, in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280x720 Pixels, 30 fps, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"Audio Formats Supported: AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",Yes,"A-GPS, GNSS",Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,"4G LTE, WCDMA, GSM",Lithium Polymer,,264 PPI,,,,"35,500",38%,"21,999",Maplin
MY232HN/A,iPad Pro 2020 (2nd Generation),Space Grey,Wi-Fi Only,iPadOS,13.4,6 GB,No,27.94 cm (11 inch),"iPad Pro, USB Type C Charge Cable (1 metre), 18 W USB Type C Power Adapter, User Manual, Warranty Card",2388 x 1668 Pixels,12 Megapixels,128 GB,2.5 GHz,No Sim,1 Year Limited Hardware Warranty,Full HD,NA,A12Z Bionic Chip with 64-bit Architecture (Neural Engine) with Embedded M12 Coprocessor,,"Video Calling: FaceTime Video (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Audio Calling: FaceTime Audio (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Quad Audio Speaker, 5 x Studio Quality Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Face ID (Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make Purchases from the iTunes Store, App Store and Apple Books), Siri: Use Voice to Send Messages, Set Reminders and More, Accessibility Includes VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Supports Dolby Vision and HDR10 Content",,Yes,"Face ID, LiDAR Scanner, Three-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",128 GB,,Yes,Yes,7 Megapixels,"4K, 1080P, 720P pixels",Yes,Yes,Yes,Yes,"Rear Camera: 12 MP (Wide) + 10 MP (Ultra Wide), F/1.8 Aperture (12 MP), F/2.4 Aperture and 125 Degree Field of View (10 MP), Five Element Lens (Wide and Ultra Wide), Brighter True Tone Flash, Panorama (Upto 63 MP), Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Autofocus with Focus Pixels (Wide), Tap to Focus with Focus Pixels (Wide), Wide Color Capture for Photos and Live Photos, Exposure Control, Noise Reduction, Smart HDR for Photos, Auto Image Stabilisation, Burst Mode, Timer Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, Slow‑motion Video Support for 1080p at 120 fps or 240 fps (Wide) and 240 fps (Ultra Wide), Time Lapse Video with Stabilisation, Continuous Autofocus Video, Video Geotagging, Video Formats Captured: HEVC and H.264, Front Camera: Animoji and Memoji, Portrait Mode, Portrait Lighting, Retina Flash, F/2.2 Aperture, Smart HDR, Auto Image Stabilisation, Burst Mode, Exposure Control, Timer Mode, Wide Color Capture for Photos and Live Photos",No,No,,,v5.0,"Yes, USB Type C",Safari,,802.11ax (Wi-Fi 6),"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity, HT80 with MIMO","LED Backlit Multi Touch Liquid Retina Display with Fingerprint Resistant Oleophobic Coating Fully Laminated Display, ProMotion Technology, Wide Color Display (P3), True Tone Display, 600 nits Brightness, Anti-reflective Coating, 1.8% Reflectivity",IPS,"H.264 Video Upto 4K, 30 Frames Per Second, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, MPEG-4 Video Upto 2.5 Mbps, 640 x 480 Pixels, 30 Frames Per Second, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280 x 720 Pixels, 30 Frames Per Second, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos, Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,5x,"36,000",40%,"21,499",I kall
VidyaTab,VidyaTab,Black,Wi-Fi Only,Android,4.4.2 (KitKat),512 MB,No,17.78 cm (7 inch),"Charger, USB Cable, Tablet, OTG",800*480 Pixels,0.3 Megapixels,4 GB,1.2 GHz,No Sim,1 Year Warranty,,WiFi,Dual Core,,,,,G sensor,4 GB,2200 mAh,Yes,,0.3 Megapixels,,,,,,,,,No,,,Micro USB,,,b/g/n,,,,"MP4,others",,,,MP3,No,,,32 GB,micro SD,Yes,12 months,service centre,1 Year,,,12 months,,,Capacitive,,,,,"21,999",13%,"18,999",I kall
MHQV3HN/A,iPad Pro 2021 (3rd Generation),Silver,Wi-Fi Only,iPadOS,14,8 GB,No,27.94 cm (11 inches),"iPad Pro, USB-C Charge Cable (1 metre), 20W USB-C Power Adapter",2388 x 1668 Pixels,12 Megapixels,256 GB,,No Sim,1 Year Warranty,Quad HD,,,,"FaceTime Video, Centre Stage, iPad to any FaceTime-Enabled Device over Wi-Fi or Cellular, FaceTime Audio, Four Speaker Audio, Five Studio-Quality Microphones for calls, Video Recording and Audio Recording, Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make purchases from the iTunes Store and the App Store, Use your voice to Send Messages, Set Reminders and more, Get Proactive Suggestions, Use Hands-Free, Listen to and identify Songs, Built-in 28.65-Watt-Hour Rechargeable Battery, VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Apple Pencil, Magic Keyboard, Next Level Performance",,Yes,"Face ID Sensor, LiDAR Scanner Sensor, Three-Axis Gyro Sensor, Accelerometer Sensor, Barometer Sensor, Ambient Light Sensor",256 GB,,Yes,Yes,12 Megapixels,,Yes,Yes,Yes,Rear Camera - Brighter True Tone flash | Front Camera - Retina Flash,"Pro Camera System: Wide and Ultra Wide cameras, Wide: 12MP, f/1.8 Aperture, Ultra Wide: 10MP, f/2.4 Aperture and 125 degree Field of view, 2x Optical Zoom out, Digital Zoom up to 5x, Five-Element Lens (Wide and Ultra Wide), Brighter True Tone flash, Panorama (up to 63MP), Sapphire Crystal Lens Cover, Autofocus with Focus Pixels (Wide), Smart HDR 3, Wide Colour Capture for Photos and Live Photos, Lens Correction (Ultra Wide), Advanced Red-Eye Correction, Photo Geotagging, Auto Image Stabilisation, Burst mode, Image Formats Captured: HEIF and JPEG, 12MP Ultra Wide camera, 122 degree field of view, f/2.4 aperture, Portrait mode with advanced bokeh and Depth Control, Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High-Key Mono), Animoji and Memoji, Smart HDR 3, 1080p HD video recording at 25 fps, 30 fps or 60 fps, Time-lapse video with stabilisation, Extended dynamic range for video up to 30 fps, Cinematic video stabilisation (1080p and 720p), Wide colour capture for photos and Live Photos, Lens correction, Retina Flash, Auto image stabilisation, Burst mode",,,,,v5.0,Type C USB,,,802.11 ax (2.4 GHz | 5 GHz) Wi-Fi 6,HT80 with MIMO,"LED Backlit Multi-touch IPS Display, Promotion Technology, Wide Color Display, True Tone Display, Fully Laminated Display, Antireflective Coating, Fingerprint-resistant Oleophobic Coating",Liquid�Retina�Display,"HEVC, H.264, MPEG-4 Part 2, Motion JPEG, HDR with Dolby Vision, HDR10 and HLG",Yes,Yes,Yes,"AAC-LC, HE-AAC, HE-AAC v2, Protected AAC, MP3, Linear PCM, Apple Lossless, FLAC, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos and Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Spatial Audio Playback, User-Con?gurable Maximum Volume Limit",,,Maps,,,,1 Year,,,,,1 Year,,Lithium Polymer,Multi-Touch,264 PPI,"Up to 10 hours of Surfing the Web on Wi-Fi or Watching Video, Charging Via Power Adapter or USB-C to Computer System",,Yes,"20,000",30%,"13,999",SAMSUNG
